Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Lampung,2012,3101455.0,641876.0,1685.0,79.2,26.8,4.831860047735076,2940795.0,2807676.0,4.845017817926004,1925.3,-240.29999999999995,Sedang,23.6016,3,True,False,False
Lampung,2013,3207002.0,638090.0,2456.7,81.0,26.7,5.025939914432134,3101455.0,2940795.0,4.831860047735076,1925.3,531.3999999999999,Tinggi,24.057000000000002,3,False,True,False
Lampung,2014,3320064.0,648731.0,1682.5,79.9,25.8,5.117782254894555,3207002.0,3101455.0,5.025939914432134,1925.3,-242.79999999999995,Sedang,23.011200000000002,3,True,False,False
Lampung,2015,3641895.0,707266.0,1628.1,78.9,27.1,5.149257846411393,3320064.0,3207002.0,5.117782254894555,1925.3,-297.20000000000005,Sedang,23.5911,3,True,False,False
Lampung,2016,3831923.0,390799.0,2317.6,79.4,26.45,9.805355182587467,3641895.0,3320064.0,5.149257846411393,1925.3,392.29999999999995,Tinggi,23.383300000000002,3,False,True,False
Lampung,2017,4090654.0,396559.0,1825.1,77.04,26.36,10.315372996199809,3831923.0,3641895.0,9.805355182587467,1925.3,-100.20000000000005,Sedang,22.618944000000003,3,True,False,False
Lampung,2018,2488641.91,511940.93,1385.8,76.05,25.5,4.861189571226509,4090654.0,3831923.0,10.315372996199809,1925.3,-539.5,Sedang,21.674249999999997,3,True,False,False
Lampung,2019,2164089.33,464103.42,1706.4,78.03,27.23,4.662946310544318,2488641.91,4090654.0,4.861189571226509,1925.3,-218.89999999999986,Sedang,23.229530999999998,3,True,False,False
Lampung,2020,2604913.29,545149.05,2211.3,75.8,24.58,4.778350599712134,2164089.33,2488641.91,4.662946310544318,1925.3,286.0000000000002,Tinggi,20.90564,3,False,True,False
Riau,1993,436297.0,146133.0,2738.4,86.37,26.0,2.985615843101832,407464.5196428572,407464.5196428572,3.3209302139853167,2464.996428571428,273.4035714285719,Tinggi,25.0473,4,False,True,False
Riau,1994,445361.0,146177.0,1991.3,84.9,26.1,3.046724176854088,436297.0,407464.5196428572,2.985615843101832,2464.996428571428,-473.6964285714282,Sedang,24.705900000000003,4,True,False,False
Riau,1995,458756.0,152204.0,3099.9,85.02,26.17,3.0140863577829755,445361.0,436297.0,3.046724176854088,2464.996428571428,634.9035714285719,Sangat Tinggi,24.800334,4,False,False,True
Riau,1996,461905.0,150354.0,2259.5,84.26,25.94,3.0721164717932345,458756.0,445361.0,3.0140863577829755,2464.996428571428,-205.49642857142817,Tinggi,24.384844,4,False,True,False
Riau,1997,416135.0,137953.0,1510.4,83.82,26.26,3.016498372634158,461905.0,458756.0,3.0721164717932345,2464.996428571428,-954.5964285714281,Sedang,24.525732,4,True,False,False
Riau,1998,370124.0,126280.0,2233.0,84.26,26.73,2.9309787773202407,416135.0,461905.0,3.016498372634158,2464.996428571428,-231.99642857142817,Tinggi,25.050498,4,False,True,False
Riau,1999,461630.0,155683.0,2045.3,84.59,26.08,2.9651920890527546,370124.0,416135.0,2.9309787773202407,2464.996428571428,-419.6964285714282,Tinggi,24.598771999999997,4,False,True,False
Riau,2000,431351.0,141640.0,2478.2,84.6,25.98,3.0454038407229596,461630.0,370124.0,2.9651920890527546,2464.996428571428,13.20357142857165,Tinggi,24.51708,4,False,True,False
Riau,2001,413391.0,132507.0,2441.7,70.79,29.05,3.119767257578845,431351.0,461630.0,3.0454038407229596,2464.996428571428,-23.29642857142835,Tinggi,19.785805000000003,4,False,True,False
Riau,2002,396644.0,129025.0,3123.8,71.73,28.2,3.0741639217205967,413391.0,431351.0,3.119767257578845,2464.996428571428,658.803571428572,Sangat Tinggi,20.658240000000003,4,False,False,True
Riau,2003,414237.0,132887.0,3822.8,72.92,29.64,3.11721236840323,396644.0,413391.0,3.0741639217205967,2464.996428571428,1357.803571428572,Sangat Tinggi,19.950912000000002,4,False,False,True
Riau,2004,454186.0,145239.0,2540.1,83.7,29.6677,3.1271628143955823,414237.0,396644.0,3.11721236840323,2464.996428571428,75.10357142857174,Tinggi,22.877135100000004,4,False,True,False
Riau,2005,424095.0,134418.0,1996.3,83.93,26.58,3.155046199169754,454186.0,414237.0,3.1271628143955823,2464.996428571428,-468.6964285714282,Sedang,24.826494,4,True,False,False
Riau,2006,42938.0,136177.0,537.6,79.6,27.7,0.31531022125615926,424095.0,454186.0,3.155046199169754,2464.996428571428,-1927.3964285714283,Rendah,23.322799999999997,4,False,False,False
